remainder_degree	shift	entry
1	5	4732019121215776689283579506050557720780800*n**5/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) + 34722790564386737555400348052021023367449600*n**4/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) + 76686354602956190619691848220145815338048000*n**3/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) + 36800472665446848189124394417294210323257600*n**2/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) - 37808502485084347368840884086888483877727360*n/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) - 20547725858188582997803389064681163784641280/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880)
2	1	547986600*n/(4856069*n + 4856069) - 409821300/(4856069*n + 4856069)
2	2	165900701112967800*n**2/(23581406132761*n**2 + 70744218398283*n + 47162812265522) - 41155585336586700*n/(23581406132761*n**2 + 70744218398283*n + 47162812265522) - 61977372063591600/(23581406132761*n**2 + 70744218398283*n + 47162812265522)
2	3	50425116009761525915811600*n**3/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054) + 63128579474828270522019600*n**2/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054) - 37560608865700743835977300*n/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054) - 28287577005635794696472700/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054)
2	4	15326475206031350888046929450496000*n**4/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) + 57503820750485728133385363128832000*n**3/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) + 36565149769916268325833501425856000*n**2/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) - 37141916091201478299186803132928000*n/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) - 21499309187020441543514682004560000/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904)
2	5	4658409570420100593105356818177190745984000*n**5/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) + 33782447542025571372979264706762824946496000*n**4/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) + 72290633470211477155091710331198591173728000*n**3/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) + 27613927419846205337761701448599046710192000*n**2/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) - 46049309899318186210271019551709611352297600*n/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) - 22873263152081091204020221714302604175155200/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880)
3	1	271656000*n/(4856069*n + 4856069) - 217119000/(4856069*n + 4856069)
3	2	82174969592289000*n**2/(23581406132761*n**2 + 70744218398283*n + 47162812265522) - 24599265593584500*n/(23581406132761*n**2 + 70744218398283*n + 47162812265522) - 32825886062361000/(23581406132761*n**2 + 70744218398283*n + 47162812265522)
3	3	24976973849146928501760000*n**3/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054) + 29988560980334710333440000*n**2/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054) - 21172444811436398135040000*n/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054) - 14982341980561424622720000/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054)
3	4	7591632856311150876302901918720000*n**4/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) + 28093963148105368813875571645440000*n**3/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) + 16358098685777052670520635190400000*n**2/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) - 20643832943538338905690302708480000*n/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) - 11386977454933344650647367336160000/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904)
3	5	2307440861497617758572541590802570319360000*n**5/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) + 16615070093650917572383542194883395007360000*n**4/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) + 34860433840362636961605046255999696311360000*n**3/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) + 11129531119984625123511656011959952563360000*n**2/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) - 25423687088317939035087237977676653875056000*n/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) - 12114683758814963319868038597191216386656000/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880)
4	1	54022500*n/(4856069*n + 4856069) - 45018750/(4856069*n + 4856069)
4	2	16332669964800000*n**2/(23581406132761*n**2 + 70744218398283*n + 47162812265522) - 5444223321600000*n/(23581406132761*n**2 + 70744218398283*n + 47162812265522) - 6805279152000000/(23581406132761*n**2 + 70744218398283*n + 47162812265522)
4	3	4964308007308651814400000*n**3/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054) + 5791692675193427116800000*n**2/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054) - 4546576607184151848000000*n/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054) - 3106058393053000980000000/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054)
4	4	1508877885440714890713382713600000*n**4/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) + 5532552246615954599282403283200000*n**3/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) + 3020207846739900246437452653600000*n**2/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) - 4399259115296438121240241430400000*n/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) - 2360686790824205098003019523000000/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904)
4	5	458616288986766910843904351159125387200000*n**5/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) + 3286750071071829527714647849973731941600000*n**4/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) + 6803925737706101853550613157576767312400000*n**3/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) + 1876221775081319471160599493723940993800000*n**2/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) - 5397829007638512641719541764912287780960000*n/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) - 2511550939457565443958268566531233419200000/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880)
